ApprovalFY,Term,NoEmp,NewBiz,RevLineCr,LowDoc,DisbursementGross,MIS_Status,County_Name,TotalLoansInCounty,PIF_RateByCounty,MedIncome,PopChange,EmployedInCty,UnempInCty,UnempRateInCty,DeathsPer100k,PayDelay,Industry
2000,170,1.6094379124341003,1.0,0.0,0,447000.0,CHGOFF,Mesa,445,0.8764044943820225,25694,0.2766146263541973,56921,1963,3.3,977.2,4.060443010546419,Construction
1990,180,2.302585092994046,0.0,0.0,0,495000.0,P I F,Mesa,445,0.8764044943820225,15473,0.2766146263541973,42012,2700,6.0,977.2,4.6913478822291435,Unknown
2000,84,1.3862943611198906,1.0,0.0,1,85000.0,P I F,Mesa,445,0.8764044943820225,25694,0.2766146263541973,56921,1963,3.3,977.2,6.008813185442595,Unknown
2000,120,1.0986122886681098,0.0,0.0,1,80000.0,P I F,Mesa,445,0.8764044943820225,25694,0.2766146263541973,56921,1963,3.3,977.2,5.214935757608986,Unknown
2010,17,0.6931471805599453,1.0,0.0,0,50000.0,P I F,Mesa,445,0.8764044943820225,33584,0.2766146263541973,67776,8337,11.0,977.2,5.407171771460119,Professional
2000,120,2.302585092994046,1.0,0.0,1,69500.0,P I F,Mesa,445,0.8764044943820225,25694,0.2766146263541973,56921,1963,3.3,977.2,4.2626798770413155,Unknown
2010,120,0.0,0.0,0.0,0,12500.0,P I F,Mesa,445,0.8764044943820225,33584,0.2766146263541973,67776,8337,11.0,977.2,0.0,Construction
2000,60,1.9459101490553132,1.0,0.0,1,100000.0,P I F,Mesa,445,0.8764044943820225,25694,0.2766146263541973,56921,1963,3.3,977.2,3.6375861597263857,Unknown
2000,120,0.6931471805599453,1.0,0.0,0,87000.0,P I F,Mesa,445,0.8764044943820225,25694,0.2766146263541973,56921,1963,3.3,977.2,3.6375861597263857,Other
2000,96,2.995732273553991,0.0,0.0,0,690450.0,P I F,Mesa,445,0.8764044943820225,25694,0.2766146263541973,56921,1963,3.3,977.2,5.231108616854587,Transportation
2001,84,1.3862943611198906,0.0,0.0,0,24000.0,P I F,Mesa,445,0.8764044943820225,27302,0.2766146263541973,57983,2316,3.8,977.2,5.3471075307174685,Unknown
1990,180,0.6931471805599453,1.0,0.0,0,344100.0,P I F,Mesa,445,0.8764044943820225,15473,0.2766146263541973,42012,2700,6.0,977.2,4.836281906951478,Other
1990,240,0.0,1.0,0.0,0,683000.0,P I F,Mesa,445,0.8764044943820225,15473,0.2766146263541973,42012,2700,6.0,977.2,5.676753802268282,Manufacturing
1990,84,1.3862943611198906,1.0,0.0,0,84800.0,P I F,Mesa,445,0.8764044943820225,15473,0.2766146263541973,42012,2700,6.0,977.2,3.9512437185814275,Unknown
2001,67,3.912023005428146,0.0,0.0,0,1100000.0,CHGOFF,Mesa,445,0.8764044943820225,27302,0.2766146263541973,57983,2316,3.8,977.2,2.302585092994046,Information
2001,300,3.091042453358316,0.0,0.0,0,776000.0,P I F,Mesa,445,0.8764044943820225,27302,0.2766146263541973,57983,2316,3.8,977.2,4.04305126783455,Other
1990,105,0.6931471805599453,0.0,0.0,0,60000.0,P I F,Mesa,445,0.8764044943820225,15473,0.2766146263541973,42012,2700,6.0,977.2,4.454347296253507,Other
1990,300,0.0,0.0,0.0,0,182750.0,P I F,Mesa,445,0.8764044943820225,15473,0.2766146263541973,42012,2700,6.0,977.2,3.8501476017100584,Retail
2001,84,0.0,0.0,0.0,1,103800.0,P I F,Mesa,445,0.8764044943820225,27302,0.2766146263541973,57983,2316,3.8,977.2,3.9318256327243257,Manufacturing
1991,180,3.367295829986474,0.0,0.0,0,215000.0,P I F,Mesa,445,0.8764044943820225,16057,0.2766146263541973,43273,3155,6.8,977.2,4.5217885770490405,Unknown
2001,240,2.8903717578961645,0.0,0.0,0,332000.0,P I F,Mesa,445,0.8764044943820225,27302,0.2766146263541973,57983,2316,3.8,977.2,5.497168225293202,Retail
1991,240,2.302585092994046,0.0,0.0,0,124000.0,P I F,Mesa,445,0.8764044943820225,16057,0.2766146263541973,43273,3155,6.8,977.2,4.948759890378168,Unknown
2001,84,1.3862943611198906,0.0,0.0,1,149000.0,P I F,Mesa,445,0.8764044943820225,27302,0.2766146263541973,57983,2316,3.8,977.2,4.543294782270004,Retail
2001,84,1.6094379124341003,1.0,0.0,1,80000.0,P I F,Mesa,445,0.8764044943820225,27302,0.2766146263541973,57983,2316,3.8,977.2,3.4011973816621555,Administrative
2001,20,1.0986122886681098,0.0,0.0,0,115000.0,CHGOFF,Mesa,445,0.8764044943820225,27302,0.2766146263541973,57983,2316,3.8,977.2,3.871201010907891,Retail
1991,180,2.995732273553991,0.0,0.0,0,565300.0,P I F,Mesa,445,0.8764044943820225,16057,0.2766146263541973,43273,3155,6.8,977.2,4.356708826689592,Unknown
2001,60,0.6931471805599453,1.0,0.0,0,200000.0,P I F,Mesa,445,0.8764044943820225,27302,0.2766146263541973,57983,2316,3.8,977.2,3.8501476017100584,Mining
2001,84,0.0,1.0,0.0,0,168000.0,P I F,Mesa,445,0.8764044943820225,27302,0.2766146263541973,57983,2316,3.8,977.2,3.6888794541139363,Retail
2001,36,3.295836866004329,0.0,1.0,0,60000.0,P I F,Mesa,445,0.8764044943820225,27302,0.2766146263541973,57983,2316,3.8,977.2,3.6635616461296463,Construction
2001,84,0.0,0.0,0.0,1,150000.0,P I F,Mesa,445,0.8764044943820225,27302,0.2766146263541973,57983,2316,3.8,977.2,3.6375861597263857,Accommodation
2001,120,2.5649493574615367,0.0,0.0,0,544999.0,P I F,Mesa,445,0.8764044943820225,27302,0.2766146263541973,57983,2316,3.8,977.2,3.5263605246161616,Health
1991,240,2.772588722239781,0.0,0.0,0,1000000.0,P I F,Mesa,445,0.8764044943820225,16057,0.2766146263541973,43273,3155,6.8,977.2,3.912023005428146,Unknown
2001,84,0.6931471805599453,0.0,0.0,0,18200.0,P I F,Mesa,445,0.8764044943820225,27302,0.2766146263541973,57983,2316,3.8,977.2,3.4657359027997265,Other
1991,180,3.332204510175204,0.0,0.0,0,250000.0,P I F,Mesa,445,0.8764044943820225,16057,0.2766146263541973,43273,3155,6.8,977.2,5.717027701406222,Unknown
2001,300,2.302585092994046,0.0,0.0,0,168700.0,P I F,Mesa,445,0.8764044943820225,27302,0.2766146263541973,57983,2316,3.8,977.2,3.912023005428146,Accommodation
2001,240,2.70805020110221,0.0,0.0,0,349000.0,P I F,Mesa,445,0.8764044943820225,27302,0.2766146263541973,57983,2316,3.8,977.2,5.236441962829949,Health
1991,84,2.302585092994046,1.0,0.0,0,50000.0,P I F,Mesa,445,0.8764044943820225,16057,0.2766146263541973,43273,3155,6.8,977.2,4.276666119016055,Unknown
2001,120,1.3862943611198906,1.0,0.0,1,100000.0,P I F,Mesa,445,0.8764044943820225,27302,0.2766146263541973,57983,2316,3.8,977.2,3.4339872044851463,Finance
2001,120,1.3862943611198906,0.0,0.0,0,107000.0,P I F,Mesa,445,0.8764044943820225,27302,0.2766146263541973,57983,2316,3.8,977.2,4.30406509320417,Transportation
2001,84,2.302585092994046,0.0,0.0,1,90000.0,P I F,Mesa,445,0.8764044943820225,27302,0.2766146263541973,57983,2316,3.8,977.2,3.7612001156935624,Construction
1991,240,1.9459101490553132,0.0,0.0,0,56000.0,P I F,Mesa,445,0.8764044943820225,16057,0.2766146263541973,43273,3155,6.8,977.2,5.4510384535657,Wholesale
1991,180,2.5649493574615367,0.0,0.0,0,160000.0,P I F,Mesa,445,0.8764044943820225,16057,0.2766146263541973,43273,3155,6.8,977.2,4.605170185988092,Other
2011,24,1.791759469228055,0.0,0.0,0,49000.0,P I F,Mesa,445,0.8764044943820225,34832,0.2766146263541973,67738,7737,10.3,977.2,1.6094379124341003,Mining
2001,60,1.9459101490553132,1.0,1.0,1,100000.0,P I F,Mesa,445,0.8764044943820225,27302,0.2766146263541973,57983,2316,3.8,977.2,3.912023005428146,Retail
2001,13,3.4011973816621555,0.0,0.0,0,150000.0,CHGOFF,Mesa,445,0.8764044943820225,27302,0.2766146263541973,57983,2316,3.8,977.2,2.9444389791664403,Arts
